Ratio_Missing:	nsam[0]:	Eff_length1_pop_outg[0]:	Eff_length2_pop_outg[0]:	Eff_length3_pop_outg[0]:	S[0]:	Theta(Wat)[0]:	Theta(Taj)[0]:	Theta(Fu&Li)[0]:	Theta(Fay&Wu)[0]:	Theta(Zeng)[0]:	Theta(Achaz,Wat)[0]:	Theta(Achaz,Taj)[0]:	Theta/nt(Taj)HKY[0]:	Divergence[0]:	Divergence/nt_HKY[0]:	TajimaD[0]:	Fu&LiD[0]:	Fu&LiF[0]:	Fay&WunormH[0]:	ZengE[0]:	AchazY[0]:	FerrettiL[0]:	
NA	100	100000.00	100000.00	100000.00	1372	264.999026	260.478990	282.000000	305.763434	283.121212	260.929254	260.039786	NA	NA	NA	-0.058152	-0.199378	-0.151319	-0.293294	0.216067	-0.012836	-0.288628	
NA	100	100000.00	100000.00	100000.00	1429	276.008461	280.576162	268.000000	275.545051	278.060606	277.925563	280.832818	NA	NA	NA	0.056427	0.090224	0.084926	0.031289	0.023496	0.039396	0.003151	
NA	100	100000.00	100000.00	100000.00	1557	300.731402	298.783434	319.000000	306.751919	302.767677	296.358180	298.370851	NA	NA	NA	-0.022091	-0.189111	-0.125379	-0.045495	0.021407	0.025581	-0.037585	
NA	100	100000.00	100000.00	100000.00	1243	240.082937	245.627677	269.000000	219.483434	232.555556	233.160636	245.150691	NA	NA	NA	0.078715	-0.373763	-0.181238	0.186837	-0.099005	0.193579	0.160906	
NA	100	100000.00	100000.00	100000.00	1410	272.338649	279.234545	183.000000	286.846263	283.040404	293.724949	281.198516	NA	NA	NA	0.086334	1.019875	0.658557	-0.047974	0.124174	-0.160637	-0.099965	
NA	100	100000.00	100000.00	100000.00	1373	265.192174	242.040000	263.000000	271.576162	256.808081	265.716947	241.612245	NA	NA	NA	-0.297644	0.025690	-0.147268	-0.191158	-0.099889	-0.341612	-0.045168	
NA	100	100000.00	100000.00	100000.00	1388	268.089394	313.151717	253.000000	282.100808	297.626263	271.701563	314.379303	NA	NA	NA	0.573078	0.174950	0.418105	0.198797	0.348124	0.591541	-0.098068	
NA	100	100000.00	100000.00	100000.00	1554	300.151958	313.431919	227.000000	283.456970	298.444444	317.663413	315.195836	NA	NA	NA	0.150892	0.758691	0.537062	0.171468	-0.017986	-0.029264	0.104424	
NA	100	100000.00	100000.00	100000.00	1455	281.030308	265.789697	387.000000	248.412323	257.101010	255.662792	263.316017	NA	NA	NA	-0.184921	-1.172825	-0.804015	0.106148	-0.269113	0.112715	0.217836	
NA	100	100000.00	100000.00	100000.00	1403	270.986613	305.496566	177.000000	243.230707	274.363636	293.485565	308.118945	NA	NA	NA	0.434199	1.078213	0.883686	0.394396	0.039379	0.187809	0.192202	
NA	100	100000.00	100000.00	100000.00	1295	250.126632	251.531515	205.000000	267.276566	259.404040	260.929254	252.481138	NA	NA	NA	0.019146	0.560211	0.346460	-0.108018	0.117151	-0.121918	-0.128610	
NA	100	100000.00	100000.00	100000.00	1348	260.363475	258.905859	253.000000	275.235556	267.070707	262.126177	259.026386	NA	NA	NA	-0.019086	0.087870	0.042259	-0.107639	0.081385	-0.044530	-0.107165	
NA	100	100000.00	100000.00	100000.00	1429	276.008461	303.561010	261.000000	267.287475	285.424242	279.601256	304.429602	NA	NA	NA	0.340372	0.169087	0.287413	0.225592	0.107808	0.334438	0.059297	
